gene_id	gene_name	gene_chrom	gene_start	gene_end	logFC	AveExpr	t	P.Value	adj.P.Val	B	peak_chrom	peak_start	peak_end	peak_direction	peak_score	distance	num_peaks	num_up_peaks	num_down_peaks
ENSG00000008226	DLEC1	chr3	38039204	38124025	0.0683725209013022	1.47076904442036	0.21240508970641	0.83291378587362	0.999684918248377	-5.34531595876519	chr3	[38083501]	[38085500]	['peak_753_Down']	[-0.38]	[0]	1	0	0
ENSG00000023318	ERP44	chr9	99979184	100099000	-0.0263410591988418	5.39936528543982	-0.334226499681348	0.740026054741038	0.999684918248377	-5.696689239636	chr9	[100042901]	[100043900]	['peak_1072_Down']	[-0.37]	[0]	1	0	0
ENSG00000032389	EIPR1	chr2	3188924	3377830	-0.0383427226753401	3.52620138207421	-0.442510787679319	0.660600621718295	0.999684918248377	-5.54471503161871	chr2	[3220401, 3314901]	[3221500, 3316300]	['peak_437_Up', 'peak_438_Down']	[0.55, -0.32]	[0, 0]	2	0	0
ENSG00000054392	HHAT	chr1	210328251	210676296	0.261437331947434	1.66372163945431	1.66479262939008	0.104088782899963	0.999684918248377	-4.30330892378055	chr1	[210653301]	[210654900]	['peak_50_Up']	[0.36]	[0]	1	0	0
ENSG00000062725	APPBP2	chr17	60443157	60526242	0.0900904124631614	5.13626814190447	1.25551284677146	0.216874089350216	0.999684918248377	-5.03542370002931	chr17	[60484801]	[60485800]	['peak_348_Up']	[0.34]	[0]	1	0	0
ENSG00000066468	FGFR2	chr10	121478331	121598458	1.02678809043437	-1.27681940731887	2.26281802663188	0.0293788588030474	0.850675014815585	-3.58686175654052	chr10	[121584001]	[121585000]	['peak_94_Down']	[-0.53]	[0]	1	0	0
ENSG00000067900	ROCK1	chr18	20946905	21111813	0.0719416086585811	6.73763962873888	1.04788307780508	0.30123923687218	0.999684918248377	-5.18399906019228	chr18	[18533101, 19909201, 20560701, 20594501, 20816101, 20819001, 20821901, 20835301, 20937501]	[18535400, 19910500, 20565100, 20596400, 20818000, 20820900, 20823800, 20837200, 20941000]	['peak_360_Up', 'peak_361_Up', 'peak_362_Down', 'peak_363_Down', 'peak_364_Down', 'peak_365_Down', 'peak_366_Down', 'peak_367_Down', 'peak_368_Down']	[0.31, 0.31, -0.4, -0.4, -0.38, -0.39, -0.39, -0.41, -0.43]	[2411506, 1036406, 381806, 350506, 128906, 126006, 123106, 109706, 5906]	9	0	0
ENSG00000089123	TASP1	chr20	13389391	13638932	0.126596632363024	2.26586001871834	1.45631465927809	0.153428811031226	0.999684918248377	-4.59575574903225	chr20	[13484201]	[13485200]	['peak_478_Up']	[0.33]	[0]	1	0	0
ENSG00000089876	DHX32	chr10	125836336	125896436	0.00904403802706	3.23160499882048	0.118221227154569	0.906508226944754	0.999684918248377	-5.58911127665965	chr10	[125886001, 125892201]	[125887500, 125893700]	['peak_95_Up', 'peak_96_Up']	[0.5, 0.31]	[0, 0]	2	0	0
ENSG00000100058	CRYBB2P1	chr22	25448104	25520854	-0.215459449597832	2.52196358157371	-0.982905608108409	0.331802572486031	0.999684918248377	-5.09174766759149	chr22	[25486901]	[25488200]	['peak_748_Down']	[-0.31]	[0]	1	0	0
ENSG00000101096	NFATC2	chr20	51386956	51562831	0.110893965681838	6.74766438856753	1.08829437640107	0.283244235039912	0.999684918248377	-5.14531383580393	chr20	[51357601]	[51358800]	['peak_540_Down']	[-0.34]	[28157]	1	0	0
ENSG00000101782	RIOK3	chr18	23453286	23486603	-0.121787657730374	6.92471303577003	-1.00634665748478	0.320544306890294	0.999684918248377	-5.20602744304461	chr18	[23455101]	[23456200]	['peak_369_Down']	[-0.36]	[0]	1	0	0
ENSG00000106617	PRKAG2	chr7	151556123	151877125	-0.0456021593999658	5.0111684129458	-0.590657087059619	0.558208544913414	0.999684918248377	-5.58531840707026	chr7	[151840901]	[151842900]	['peak_989_Down']	[-0.36]	[0]	1	0	0
ENSG00000107643	MAPK8	chr10	48306638	48439360	0.0716115628776191	4.82807594174345	0.495236551560061	0.623253471816861	0.999684918248377	-5.62707181453812	chr10	[48376401]	[48377600]	['peak_92_Up']	[0.33]	[0]	1	0	0
ENSG00000107736	CDH23	chr10	71396919	71815947	-0.314574347718712	4.04088178072418	-1.61409511809724	0.114690125454968	0.999684918248377	-4.54431943190918	chr10	[71688101]	[71689600]	['peak_93_Down']	[-0.51]	[0]	1	0	0
ENSG00000109184	DCUN1D4	chr4	51842999	51916837	0.15478892637026	4.26924763725242	0.941118895814347	0.352523222423144	0.999684918248377	-5.30641629632757	chr4	[50727801, 50825001, 50830601, 50839701, 51000401, 51272401, 51425401, 51736201, 51741801]	[50728800, 50826100, 50831600, 50841600, 51001700, 51274300, 51426700, 51737500, 51743100]	['peak_852_Down', 'peak_853_Down', 'peak_854_Up', 'peak_855_Down', 'peak_856_Down', 'peak_857_Down', 'peak_858_Up', 'peak_859_Down', 'peak_860_Down']	[-0.37, -0.35, 0.31, -0.33, -0.39, -0.4, 0.45, -0.51, -0.41]	[1114200, 1016900, 1011400, 1001400, 841300, 568700, 416300, 105500, 99900]	9	0	0
ENSG00000109654	TRIM2	chr4	153152162	153339319	0.640703213537341	1.93865870106206	3.33050727722611	0.0019228076574176	0.422888277474931	-1.48704460385476	chr4	[153128501]	[153130500]	['peak_863_Down']	[-0.41]	[21663]	1	0	0
