peak_chrom	peak_start	peak_end	peak_direction	peak_score	peak_strand	gene_chrom	gene_start	gene_end	gene_name	gene_score	gene_strand	distance	gene_id	cntrl_rna_10	cntrl_rna_11	cntrl_rna_12	cntrl_rna_13	cntrl_rna_14	cntrl_rna_15	cntrl_rna_16	cntrl_rna_17	cntrl_rna_18	cntrl_rna_1	cntrl_rna_2	cntrl_rna_3	cntrl_rna_4	cntrl_rna_5	cntrl_rna_6	cntrl_rna_7	cntrl_rna_8	cntrl_rna_9	scz_rna_10	scz_rna_11	scz_rna_12	scz_rna_13	scz_rna_14	scz_rna_15	scz_rna_16	scz_rna_17	scz_rna_18	scz_rna_19	scz_rna_1	scz_rna_2	scz_rna_3	scz_rna_4	scz_rna_5	scz_rna_6	scz_rna_7	scz_rna_8	scz_rna_9	logFC	AveExpr	t	P.Value	adj.P.Val	B	is_significant_raw	is_significant_adj	is_upregulated	is_downregulated
chr1	117450701	117451700	peak_11_Up	0.44	.	chr1	117367448	117528872	MAN1A2	.	+	0	ENSG00000198162	5.57759128867717	5.92710786510392	5.59008838354932	5.75057155902913	5.77451481101679	5.95273122058471	5.78205192185519	5.7311180682517	5.4612978879631	6.33387851273879	5.95515343788093	5.88278622821805	6.27555011786478	6.17937645454296	5.60235969194605	5.898648718549	5.90859586127965	5.95682653309747	6.03761799474228	6.20519351953988	6.1211642951574	6.09544404474731	6.1878719078639	6.07293731546131	6.51819017100278	6.00054090125146	6.06904915811834	6.04087727014439	6.10134657138141	5.70516846878077	5.85723773890367	6.12141118696481	6.10189769061528	5.65370938655099	6.09992765401206	5.743488442222	5.79374942942904	0.171623034796479	5.94612363619864	2.26302203985885	0.0293651264733845	0.850675014815585	-3.53399022713526	True	False	True	False
chr10	121584001	121585000	peak_94_Down	-0.53	.	chr10	121478331	121598458	FGFR2	.	-	0	ENSG00000066468	-3.08891772329661	-2.4774592798143	-0.971995405776747	-0.829481313971887	-1.05542153536452	-1.00990757179484	-1.296791500674	-2.36334391321583	-3.08891772329661	-1.27158030633814	-3.08891772329661	-1.16569481665852	-0.71065840723549	0.0559818588220249	0.0858154540193117	0.575397383478697	-0.393651946948194	0.975486450523059	-1.08418327363262	-1.0173966632282	-0.592045491516029	-0.361396414681667	-0.723786672443043	0.627768238665605	-0.0016513846660731	-1.0266353334128	-0.339615401877728	-0.923099555042843	-0.205198458255095	0.427500211325677	-1.82483966769163	1.25733397211887	-0.770366381204795	-0.945277953942965	0.118383864869579	-0.87968908420118	-1.50461947938288	1.02678809043437	-1.27681940731887	2.26281802663188	0.0293788588030474	0.850675014815585	-3.58686175654052	True	False	True	False
chr11	87116401	87117400	peak_138_Down	-0.32	.	chr11	87037843	87328824	TMEM135	.	+	0	ENSG00000166575	3.36431998081141	3.6957851942782	3.02841076795626	3.52912211632805	3.79529429313991	3.64648383469805	2.96149919403464	3.21071935391279	3.43185818288592	3.97750193147668	3.78845034255079	3.54010380219674	3.93173761803626	3.74830552355373	3.46650045329057	3.02081090631574	3.4430819053419	3.49201544327642	2.93966238770511	3.59967600222691	3.07292910539199	3.34658543716775	2.88745812985095	3.02192995798127	3.58328709723258	3.06429992375696	2.95786966323333	3.38563946958499	3.55161928184982	3.38839883352035	3.40310025543662	3.71308731469721	3.23084332737435	3.67516784297393	3.33672702389759	3.46602680218054	3.04623663782243	-0.22227482502024	3.3857396144464	-2.26199794386818	0.0294341173150736	0.850675014815585	-3.48936414071359	True	False	False	True
chr13	50004001	50005300	peak_175_Down	-0.31	.	chr13	49995887	50020481	TRIM13	.	+	0	ENSG00000204977	5.13773390592527	5.31534620258962	5.20910611289322	5.20443471921981	5.11960913082788	5.28620839733354	5.01778806129295	5.1225243071765	5.48149937592348	4.84086037581879	5.16597934936476	5.26032415475056	5.19933344877781	5.23287744259002	5.22374109659854	5.1016859317745	5.23398010220971	5.15769811122444	5.4192112481319	5.04607550138981	5.36150884102008	5.25776037561218	5.32396869798234	5.13528051372258	5.3835510378995	5.42452241145327	5.32713314111991	5.13943717033449	5.32667057211975	5.46522559394597	5.51054645813716	5.26555844079366	5.16164013264012	5.32541263888492	5.44880398521351	5.38754255934738	5.34888050209135	0.135989582679689	5.25020264754124	2.69111935180418	0.0104864402179174	0.699693458212904	-2.71118420688685	True	False	True	False
chr14	66788401	66789400	peak_213_Down	-0.32	.	chr14	66507406	67181803	GPHN	.	+	0	ENSG00000171723	2.03116551151512	2.30918041666918	1.61332814390931	2.0613693814499	1.77237349449617	1.94077046980529	2.12550459510789	2.37492834224267	2.24752541064221	2.3084100940534	1.92530972280042	2.08666265048815	2.1300487144747	2.04303438394081	2.24040373930232	1.79822990969403	1.65625902056919	2.27565589307283	2.64519309885398	2.37269384084064	2.47929788557147	2.32968042009725	2.2317428177445	2.21890454532899	2.29456919883916	2.43615046083053	2.16678968490418	1.89465126791943	2.38316137768357	1.81410199416405	2.11053037885857	2.07943826262745	2.25667503979569	2.12981685375626	2.50353509259142	2.53529222797428	1.89501036332207	0.197178093079151	2.12329759793628	2.38216133712812	0.0222618059990344	0.824399569919791	-3.25460283220223	True	False	True	False
chr15	56940101	56941400	peak_247_Down	-0.38	.	chr15	56918622	57299281	TCF12	.	+	0	ENSG00000140262	5.31294489137421	5.54737260102406	5.39990211688069	5.36370174127476	5.47424742375854	5.47016242717429	5.47598710110347	5.42037570813341	5.46314612058916	5.70226216841898	5.52429815816356	5.43284390850675	5.66509555163108	5.54998609668277	5.48923212001232	5.39408822628651	5.49155331972301	5.51087992607077	5.72312123409324	5.55489631885849	5.55818216980497	5.52361346083914	5.50777702820421	5.70389177352456	5.70039372000918	5.62435143599171	5.51527687106751	5.46232002263564	5.51351911421465	5.4795428850363	5.80363809298307	5.60399690573062	5.68859369124445	5.51987723328132	5.94986485170817	5.54500229192155	5.48625777084576	0.122750889330436	5.54230586777871	2.59409152687152	0.0133520380367797	0.736526933617176	-2.9072906781816	True	False	True	False
chr19	37621001	37622400	peak_427_Up	0.31	.	chr19	37613748	37692337	ZFP30	.	-	0	ENSG00000120784	3.9347512778624	3.85268715134399	3.75004647206832	3.69810174292565	3.70623222962666	3.82546226654206	3.12999779021405	3.75304437771834	2.78551245877388	3.42871119293768	3.58224501465735	3.4162054750611	3.88431114986125	3.75090805229476	3.77807824677434	3.12623311087825	3.59352515366899	3.42737274946876	4.09227354510817	3.89972504292888	4.40146975591928	4.05244893757185	3.96187003553418	3.72478824587576	4.16352646463478	3.90522145178267	3.74003942734951	3.81273460745639	3.79550982051746	3.71661367933355	3.42170247222707	3.54317556918763	3.4868487235076	3.64304800172551	4.1534873352242	3.28873250304709	3.35304073054836	0.21965352659546	3.68098883171475	2.22216121395003	0.0322327517940629	0.855794280070805	-3.57114909365346	True	False	True	False
chr2	60466301	60468900	peak_444_Down	-0.31	.	chr2	60450519	60554467	BCL11A	.	-	0	ENSG00000119866	3.95276002229582	4.07074155708769	3.8318083484748	4.15196020200801	4.66025495804654	4.65753586374835	4.37298107511855	3.80946032658105	3.74305392502354	5.0308966033858	4.58132398818009	4.90224674118614	4.2440448956799	4.1969145588677	4.50186667859962	3.94088748641573	4.26632009544935	3.83292959055605	4.75656772699589	4.06388372230392	4.6847615402164	4.79107229578334	4.06577075903393	4.5898568939255	4.27718313578853	4.71239479925963	4.74955206153149	5.37850564798034	5.00013022545145	5.0041490756591	5.98092927614398	4.51028589717055	4.63706707451639	4.28126478273105	5.37987014339334	3.90938822268732	4.71099014683279	0.429940208006888	4.48695412109048	2.86861463434787	0.0066634092840265	0.62587993837513	-2.33482093662047	True	False	True	False
chr21	45499801	45501600	peak_647_Down	-0.41	.	chr21	45493571	45573365	SLC19A1	.	-	0	ENSG00000173638	3.07747308768342	3.24554756736142	3.30143393036158	4.0479374065075	3.38611521154524	3.1433393548497	3.89082379023929	2.81364398555526	3.39360460210869	2.85554814125535	2.89622514456909	3.4918136641864	3.49984273046822	3.00497645370573	3.45193626207848	3.99755938918562	3.13111558308124	3.37691602029021	3.03624191879813	2.98150275342461	2.90435236042088	3.33313299172472	3.16005887499436	3.37378400033933	2.89385666770127	2.96119037403499	3.32771606217239	3.05053295227377	2.88293100793476	3.14836360443164	2.78073678367974	2.94922870450511	3.37179401550826	3.33373764218592	2.80639622587504	3.72804826528309	2.79274572169296	-0.243218381046214	3.1966689722312	-2.34985305673885	0.024016368462864	0.828854504329391	-3.32704148062709	True	False	False	True
chr4	153128501	153130500	peak_863_Down	-0.41	.	chr4	153152162	153339319	TRIM2	.	+	21663	ENSG00000109654	0.981399769857999	1.71420329575159	0.912843299588644	1.77897296460321	1.88825148926048	2.75139230273497	1.5440140625273	1.32117257593234	0.944712797041679	2.59010072671438	1.91230635978303	2.31792361100717	2.53752273100137	1.26204764744397	1.25921404939568	0.938138630714522	1.45322380241228	1.3688033330061	2.73745896539031	2.75886784493182	2.60111315765009	1.65016929845783	1.88108451762768	1.52147425142356	1.89955127333891	2.75904995524806	2.3204193041554	1.76396338009593	2.95724888109526	2.34765478043381	2.12876023168897	2.54329486710154	3.0879325558276	2.25653371916194	3.3221030294788	1.49326316443601	1.62894187856734	0.640703213537341	1.93865870106206	3.33050727722611	0.0019228076574176	0.422888277474931	-1.48704460385476	True	False	True	False
